Shim_ID,FHFC_Key,HUD_REMS,Public_Housing_Development#,Florida_DOR_Parcel,Development_Name,Street_Address,City,State,Zip_Code,County,Housing_Program(s),Total_Units,Assisted_Units,HUD/RD_Rental_Assistance_Units,FHFC_Funded,HUD_Multifamily_Funded,HUD_Public_Housing_Funded,RD_Funded,LHFA_Funded,Target_Population,Occupancy_Status,Affordability_Start_Date,Year_built_(property_appraiser),Owner_Type,Overall_year_of_subsidy_expiration,Latitude,Longitude,Census_Tract,Census_Block_Group,Number_of_0_BR,Number_of_1_BR,Number_of_2_BR,Number_of_3_BR,Number_of_4_or_more_BR
1388,-,800004311,-,7240001001,New Horizons Properties III - Transitions,3800 SW 34th ST,Gainesville,Florida,32608,Alachua,Rental Assistance/HUD;Section 202 Direct Loan,8,8,8,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,1990,1977,Non-Profit,2030,29.61880045,-82.3753581,1519,1,1,7,-,-,-
1447,-,800004001,-,10071003001,New Horizons Properties IV - Choice Apts,2101 NE 2ND ST,Gainesville,Florida,32609,Alachua,Rental Assistance/HUD;Section 811 Capital Advance,16,16,16,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,1997,1997,Non-Profit,2037,29.67172399,-82.31961932,400,3,-,4,12,-,-
1321,-,800004109,-,10071002002,PINE GROVE APTS,1901 NE 2ND ST,Gainesville,Florida,32609,Alachua,Rental Assistance/HUD;Section 207/223(f),97,96,96,-,x,-,-,-,Elderly,Ready for Occupancy,1985,1984,Non-Profit,2031,29.66944517,-82.3200654,400,3,not avail.,not avail.,not avail.,not avail.,not avail.
2009,21,800004383,-,6655057000,PINE MEADOWS APARTMENTS,7025 W UNIVERSITY AVE,Gainesville,Florida,32607,Alachua,Housing Credits 4%;Rental Assistance/HUD;Section 221(d)(4) MKT;State Bonds;State HOME,78,78,78,x,x,-,-,-,Family,Ready for Occupancy,1983,1983,For-Profit,2062,29.652256,-82.417974,2217,2,-,16,46,16,-
1414,1083,800004475,-,9542003000,SUNSET APARTMENTS,1500 NW 12TH ST,Gainesville,Florida,32601,Alachua,Rental Assistance/HUD;SAIL,40,40,25,x,x,-,-,-,Family,Ready for Occupancy,1971,1970,Non-Profit,2053,29.66569953,-82.3378035,301,2,-,-,24,16,-
1284,2680,800004509,-,14282000000,THE 400 APARTMENTS,400 NW 1ST AVE,Gainesville,Florida,32601,Alachua,Housing Credits 9%;Rental Assistance/HUD,101,101,101,x,x,-,-,-,Elderly;Family;Link,Ready for Occupancy,1979,1979,For-Profit,2066,29.65296641,-82.32882374,500,1,-,101,-,-,-
1347,1417,800004562,-,8197002001,VILLAGE GREEN APARTMENTS,3101 NE 15TH ST,Gainesville,Florida,32609,Alachua,Housing Credits 4%;Local Bonds;Rental Assistance/HUD,100,100,77,x,x,-,-,x,Family,Ready for Occupancy,1972,1971,Limited Dividend,2040,29.68257734,-82.30493828,400,1,-,20,35,35,10
243,58,800003918,-,322S22000800060020,BAKER MANOR,680 S 6TH ST,Macclenny,Florida,32063,Baker,Rental Assistance/HUD;SAIL,50,50,50,x,x,-,-,-,Family,Ready for Occupancy,1980,1974,Non-Profit,2047,30.27321791,-82.12340653,40102,2,-,12,25,13,-
1773,-,800004321,-,322S22004900020010,NORTHWOOD APARTMENTS,307 E OHIO AVE,Macclenny,Florida,32063,Baker,Refi Section 221(d)(4) MR;Rental Assistance/HUD,52,52,52,-,x,-,-,-,Elderly,Ready for Occupancy,1980,1981,For-Profit,2031,30.28788216,-82.11797126,40101,2,-,12,24,16,-
509,2463,800004061,-,28472-020-000,EDGEWOOD GARDEN APARTMENTS,3325 W 23RD ST,Panama City,Florida,32405,Bay,Exchange;Housing Credits 9%;Rental Assistance/HUD,94,94,94,x,x,-,-,-,Family;Link,Ready for Occupancy,1973,1973,For-Profit,2062,30.18868173,-85.70465014,2400,2,-,16,42,28,8
1944,2534,800004104,-,14476-010-000,FOXWOOD APARTMENTS,1701 HAMILTON AVE,Panama City,Florida,32405,Bay,Housing Credits 9%;Rental Assistance/HUD;Section 207/223(f),100,100,100,x,x,-,-,-,Family;Link,Ready for Occupancy,1980,1980,For-Profit,2064,30.17933235,-85.65302059,1600,1,-,-,24,52,24
2093,-,800004117,-,31144-015-000,GIBB GULF COAST VILLAGE,6200 N LAGOON DR,Panama City,Florida,32408,Bay,Rental Assistance/HUD;Section 202 Direct Loan,40,39,39,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,1994,1994,Non-Profit,2017,30.15422659,-85.75235517,2604,3,not avail.,not avail.,not avail.,not avail.,not avail.
709,-,800004360,-,13829-000-000,MACEDONIA GARDENS,1722 W 17TH ST,Panama City,Florida,32405,Bay,Rental Assistance/HUD,100,100,100,-,x,-,-,-,Family,Ready for Occupancy,1970,1969,For-Profit,2031,30.17971668,-85.68797878,2200,1,-,-,28,72,-
1820,2056,800004359,-,13828-020-000,PANA VILLA GARDEN APARTMENTS,1802 FLOWER AVE,Panama City,Florida,32405,Bay,Exchange;Housing Credits 9%;Rental Assistance/HUD;State HOME;Tax Credit Assistance Program,72,72,72,x,x,-,-,-,Family;Link,Ready for Occupancy,1971,2011,For-Profit,2061,30.18052519,-85.68797318,2200,1,-,16,24,24,8
1851,-,800004418,-,18140-000-000,ROYAL ARMS GARDEN APARTMENTS,1420 BALBOA AVE,Panama City,Florida,32401,Bay,Rental Assistance/HUD,88,80,80,-,x,-,-,-,Family,Ready for Occupancy,1972,1971,For-Profit,2029,30.17296019,-85.67415883,2200,2,not avail.,not avail.,not avail.,not avail.,not avail.
2038,-,800004457,-,19672-000-000,ST. ANDREWS TOWERS,24 HARRISON AVE,Panama City,Florida,32401,Bay,Rental Assistance/HUD;Section 207/223(f),216,216,216,-,x,-,-,-,Elderly,Ready for Occupancy,1979,1979,For-Profit,2029,30.15294483,-85.66199352,2000,1,-,216,-,-,-
1949,2496,800004427,-,27855-000-000,SAND DUNES APARTMENTS,8011 FRONT BEACH ROAD,Panama City Beach,Florida,32407,Bay,Housing Credits 4%;Rental Assistance/HUD;Section 221(d)(4) MKT;State Bonds;State HOME,104,104,103,x,x,-,-,-,Elderly;Family,Ready for Occupancy,1984,1983,For-Profit,2033,30.18337463,-85.77412031,2603,1,not avail.,not avail.,not avail.,not avail.,not avail.
6512,-,800214849,-,23328-010-000,GIBB SPRINGFIELD VILLAGE,3301-3407 E 4th St,Springfield,Florida,32401,Bay,Rental Assistance/HUD;Section 811 Capital Advance,12,11,11,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,2004,2004,Non-Profit,2044,30.15512646,-85.61724814,1000,2,not avail.,not avail.,not avail.,not avail.,not avail.
1739,-,800004339,-,04416-0-00100,ORANGEWOOD APTS,801 S WATER STREET,Starke,Florida,32091,Bradford,Rental Assistance/HUD;Section 515,46,46,46,-,x,-,x,-,Family,Ready for Occupancy,1982,1984,For-Profit,2032,29.93687325,-82.10719217,100,5,-,6,28,12,-
3105,-,800214868,-,24 362000  2611,ABILITIES AT COLLEGE PINES,1552 University Ln,Cocoa,Florida,32922,Brevard,Rental Assistance/HUD;Section 811 Capital Advance,16,16,16,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,2003,1981,Non-Profit,2043,28.38566752,-80.75444469,62302,2,-,-,16,-,-
3104,-,800212816,-,24 3629BY        1401,ABILITIES AT CRESTVIEW,800 N Fiske Blvd,Cocoa,Florida,32922,Brevard,Rental Assistance/HUD;Section 811 Capital Advance,18,18,18,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,2002,1964,Non-Profit,2042,28.36809421,-80.74116366,62301,1,-,9,9,-,-
7232,-,800235851,-,24 3629BY        1401,ABILITIES AT CRESTVIEW II,800 North Fiske Blvd,Cocoa,Florida,32924,Brevard,Rental Assistance/HUD;Section 811 Capital Advance,7,7,7,-,x,-,-,-,Elderly,Ready for Occupancy,1900,1964,Non-Profit,2052,28.36816173,-80.74135679,62301,1,-,4,3,-,-
2219,-,800112349,-,24 3629BY        1201,ABILITIES AT WINDOVER,1050 N FISKE BLVD,Cocoa,Florida,32922,Brevard,Rental Assistance/HUD;Section 811 Capital Advance,10,10,10,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,2000,1981,Non-Profit,2040,28.37053984,-80.74191538,62301,1,-,6,4,-,-
1814,-,800003952,-,24 3629BY         701,CANDLEWOOD APARTMENTS,811 Crestview Dr,Cocoa,Florida,32922,Brevard,Rental Assistance/HUD,100,70,70,-,x,-,-,-,Family,Ready for Occupancy,1982,1983,For-Profit,2033,28.37248489,-80.74157639,62301,1,not avail.,not avail.,not avail.,not avail.,not avail.
1746,-,800004009,-,24 362000  272,COCOA LAKES APARTMENTS,201 ST. CLAIR DRIVE,Cocoa,Florida,32922,Brevard,Rental Assistance/HUD,50,49,49,-,x,-,-,-,Family,Ready for Occupancy,1983,1982,For-Profit,2034,28.387474,-80.749684,62302,2,not avail.,not avail.,not avail.,not avail.,not avail.
7285,-,800235466,-,24 362900  250,WESTMINSTER ASBURY EAST,1404 Dixon Boulevard,Cocoa,Florida,32922,Brevard,Rental Assistance/HUD;Section 202 Capital Advance,68,68,68,-,x,-,-,-,Elderly,Ready for Occupancy,2014,not avail.,Non-Profit,2017,28.37424568,-80.75156671,62302,3,-,68,-,-,-
31,-,800067140,-,24 362900  2521,Westminster Asbury North,1430 Dixon Blvd,Cocoa,Florida,32922,Brevard,Rental Assistance/HUD;Section 202 Capital Advance,50,50,50,-,x,-,-,-,Elderly,Ready for Occupancy,1999,1971,Non-Profit,2039,28.37403364,-80.75334509,62302,3,-,50,-,-,-
2044,-,800003906,-,24 362900  2521,Westminster Asbury South,1430 DIXON BLVD,Cocoa,Florida,32922,Brevard,Rental Assistance/HUD,150,142,142,-,x,-,-,-,Elderly,Ready for Occupancy,1971,1971,Non-Profit,2019,28.37403928,-80.75333139,62302,3,not avail.,not avail.,not avail.,not avail.,not avail.
1854,-,800004524,-,24 362200  783,TROPICAL MANOR APARTMENTS,1165 Jordan Rd,MERRITT ISLAND,Florida,32953,Brevard,Rental Assistance/HUD,85,85,85,-,x,-,-,-,Family,Ready for Occupancy,1969,1968,For-Profit,2025,28.37894196,-80.70957724,69902,3,-,-,85,-,-
6923,-,800221256,-,27 371900  267,ABILITIES AT ENGLISH PARK,1225 N Wickham Rd,Melbourne,Florida,32935,Brevard,Rental Assistance/HUD;Section 811 Capital Advance,5,5,5,-,x,-,-,-,Elderly,Ready for Occupancy,2008,1978,Non-Profit,2048,28.12634837,-80.67051626,64500,2,-,2,3,-,-
6653,-,800219355,-,27 371700    61,ABILITIES AT SAN JUAN II,100 San Juan Circle,Melbourne,Florida,32935,Brevard,Rental Assistance/HUD;Section 811 Capital Advance,7,7,7,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,2005,1979,Non-Profit,2045,28.13656001,-80.645435,64302,1,-,5,2,-,-
136,-,800003902,-,28 370900  758,ARCH CREEK RUN,173 Rachel St,Melbourne,Florida,32901,Brevard,Rental Assistance/HUD,96,96,96,-,x,-,-,-,Family,Ready for Occupancy,1982,1982,For-Profit,2034,28.057674,-80.62378,64901,3,-,52,37,7,-
1848,-,800003907,-,27 370800   23,ASCENSION MANOR,2960 PINEAPPLE AVENUE,Melbourne,Florida,32935,Brevard,Rental Assistance/HUD;Section 202 Capital Advance,76,76,76,-,x,-,-,-,Elderly,Ready for Occupancy,1995,1995,Non-Profit,2035,28.15532253,-80.64031996,64202,2,-,76,-,-,-
1628,-,800003939,-,28 371079    13,BRIARSTONE APARTMENTS,3034 LIPSCOMB ST,Melbourne,Florida,32901,Brevard,Rental Assistance/HUD,14,14,14,-,x,-,-,-,Family,Ready for Occupancy,1971,1970,For-Profit,2018,28.06280521,-80.60526198,65124,2,-,-,-,14,-
1810,-,800004437,-,28 371000  752,SHULL MANOR APARTMENTS,713 E University Blvd,Melbourne,Florida,32901,Brevard,Rental Assistance/HUD,65,65,65,-,x,-,-,-,Family,Ready for Occupancy,1969,1968,For-Profit,2025,28.06286576,-80.60851212,65124,2,-,-,65,-,-
2063,2812,800004519,-,28 3703FC   34    7,TRINITY TOWERS EAST,700 E STRAWBRIDGE AVE,Melbourne,Florida,32901,Brevard,Elderly Housing Community Loan;Extremely Low Income;Housing Credits 4%;Rental Assistance/HUD;SAIL;Section 202 Direct Loan;State Bonds,156,141,106,x,x,-,-,-,Elderly;Family;Link,Ready for Occupancy,1967,1969,Limited Dividend,2068,28.07980752,-80.60907121,64800,2,not avail.,not avail.,not avail.,not avail.,not avail.
2147,2793,800004520,-,28 370375         503,TRINITY TOWERS SOUTH,615 E NEW HAVEN AVE,Melbourne,Florida,32901,Brevard,Elderly Housing Community Loan;Rental Assistance/HUD;Section 207/223(f),162,162,162,x,x,-,-,-,Elderly;Family,Ready for Occupancy,1982,1982,Limited Dividend,2032,28.077367,-80.61075608,64902,1,130,32,-,-,-
2045,2695,800004521,-,28 370301   39    1,TRINITY TOWERS WEST,650 E STRAWBRIDGE AVE,Melbourne,Florida,32901,Brevard,Housing Credits 9%;Rental Assistance/HUD;Section 236,192,183,136,x,x,-,-,-,Elderly;Family;Link,Ready for Occupancy,1972,1971,Limited Dividend,2066,28.07979246,-80.61003076,64800,2,not avail.,not avail.,not avail.,not avail.,not avail.
1881,-,800004444,-,28 372200  279,SOUTHLAKE TOWERS,5501 PINEWOOD DR NE,Palm Bay,Florida,32905,Brevard,Rental Assistance/HUD;Section 202 Direct Loan,85,85,85,-,x,-,-,-,Elderly,Ready for Occupancy,1986,1986,Non-Profit,2032,28.04053502,-80.61416924,65122,1,22,63,-,-,-
1643,-,800003923,-,25 360800  767,SPRINGWOOD ESTATES,951 EYSTER BLVD,Rockledge,Florida,32955,Brevard,Rental Assistance/HUD;Section 202 Direct Loan,24,24,24,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,1982,1982,Non-Profit,2032,28.3231098,-80.73928974,63105,1,-,24,-,-,-
581,-,800003924,-,25 361700  759,WOODSMERE ESTATES,980 BRIDLE LN,Rockledge,Florida,32955,Brevard,Rental Assistance/HUD;Section 202 Direct Loan,15,15,15,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,1990,1990,Non-Profit,2032,28.30975999,-80.74006446,63105,5,15,-,-,-,-
554,258,800004065,-,22 350900  759,"EMERALD PLACE APTS OF BREVARD,LTD.",1040 Tree Ln,Titusville,Florida,32780,Brevard,Housing Credits 9%;Rental Assistance/HUD,136,136,42,x,x,-,-,-,Family,Ready for Occupancy,1994,1982,For-Profit,2044,28.586992,-80.815245,60600,1,-,24,104,8,-
1812,-,800004101,-,22 350400   231,FOREST PARK SOUTH,521 Rockpit Rd,Titusville,Florida,32796,Brevard,Refi Section 221(d)(4) MR;Rental Assistance/HUD,68,68,68,-,x,-,-,-,Family,Ready for Occupancy,1981,1981,For-Profit,2032,28.60973074,-80.821004,60400,4,-,16,16,36,-
1497,-,800004456,-,4.84E+11,ST. ANDREW TOWERS,2700 NW 99TH AVE,Coral Springs,Florida,33065,Broward,Rental Assistance/HUD;Section 236,438,324,324,-,x,-,-,-,Elderly,Ready for Occupancy,1974,1974,Non-Profit,2036,26.263564,-80.25812,20314,2,not avail.,not avail.,not avail.,not avail.,not avail.
2019,-,800004538,-,5.04E+11,OUR HOUSE IN DANIA,840 W Dania Beach Blvd,Dania,Florida,33004,Broward,Rental Assistance/HUD,12,12,12,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,1984,1984,Non-Profit,2025,26.05173918,-80.15010206,80500,2,-,12,-,-,-
1427,-,800004003,-,5.04E+11,CIRCLE L APARTMENTS,6601 SW 41ST ST,Davie,Florida,33314,Broward,Rental Assistance/HUD;Section 202 Direct Loan,15,15,15,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,1987,1987,Non-Profit,2027,26.07183398,-80.23502097,70601,2,15,-,-,-,-
1349,-,800004083,-,5.04E+11,FEDERATION GARDENS OF DAVIE,5701 SW 82ND AVE,Davie,Florida,33328,Broward,Rental Assistance/HUD;Section 202 Direct Loan,80,79,79,-,x,-,-,-,Elderly,Ready for Occupancy,1991,1991,Non-Profit,2031,26.04930007,-80.25797444,70602,1,not avail.,not avail.,not avail.,not avail.,not avail.
74230,-,800240614,-,5.04E+11,GRIFFIN GARDENS,4881 Griffin Rd,Davie,Florida,33314,Broward,Rental Assistance/HUD,100,100,100,-,x,-,-,-,Elderly;Family,Ready for Occupancy,1982,1983,Non-Profit,2034,26.06448881,-80.21148392,70101,3,-,90,10,-,-
1260,-,800004466,-,5.14E+11,STIRLING ROAD APARTMENTS,4100 NW 77 AVE,Davie,Florida,33024,Broward,Rental Assistance/HUD;Section 202 Direct Loan,15,15,15,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,1989,1990,Non-Profit,2029,26.0441067,-80.24233591,70502,2,15,-,-,-,-
1314,-,800003915,-,4.84E+11,B'NAI B'RITH APARTMENTS,299 SW 3RD AVE,Deerfield Beach,Florida,33441,Broward,Rental Assistance/HUD;Section 202 Direct Loan,100,99,99,-,x,-,-,-,Elderly,Ready for Occupancy,1987,1987,Non-Profit,2028,26.31407064,-80.10841795,10305,2,not avail.,not avail.,not avail.,not avail.,not avail.
2153,-,800003914,-,4.84E+11,B'NAI B'RITH APARTMENTS II,255 SW 3RD AVE,Deerfield Beach,Florida,33441,Broward,Rental Assistance/HUD;Section 202 Direct Loan,83,83,83,-,x,-,-,-,Elderly,Ready for Occupancy,1994,1994,Non-Profit,2016,26.31512772,-80.1084311,10305,2,-,83,-,-,-
7031,-,800221231,-,4.84E+11,B'NAI B'RITH APARTMENTS III,299 SW 3rd Avenue,Deerfield Beach,Florida,33441,Broward,Rental Assistance/HUD;Section 202 Capital Advance,88,88,88,-,x,-,-,-,Elderly,Ready for Occupancy,2008,1987,Non-Profit,2017,26.31408385,-80.10834961,10305,2,-,88,-,-,-
74312,-,800240613,-,4.84E+11,HIGHLAND GARDENS,331 NE 48th St,Deerfield Beach,Florida,33064,Broward,Rental Assistance/HUD,100,100,100,-,x,-,-,-,Elderly;Family,Ready for Occupancy,1980,2008,Non-Profit,2034,26.29086666,-80.11850245,10702,1,-,100,-,-,-
1010,-,800003888,-,5.04E+11,ALAN APARTMENTS,915 SISTRUNK BLVD,Fort Lauderdale,Florida,33311,Broward,Rental Assistance/HUD,72,72,72,-,x,-,-,-,Elderly,Ready for Occupancy,1979,1949,For-Profit,2019,26.1303695,-80.15435063,41500,1,-,72,-,-,-
961,112,800003946,-,4.94E+11,BROWARD GARDENS,2960 NW 19TH ST,Fort Lauderdale,Florida,33311,Broward,Housing Credits 9%;Rental Assistance/HUD,96,96,96,x,x,-,-,-,Family;Link,Ready for Occupancy,1972,1973,For-Profit,2044,26.15036073,-80.18384535,41000,2,-,-,48,48,-
2074,242,800004055,-,4.94E+11,DRIFTWOOD TERRACE APARTMENTS,3146 NW 19TH STREET,Fort Lauderdale,Florida,33311,Broward,Housing Credits 4%;Local Bonds;Rental Assistance/HUD;State Bonds,176,176,174,x,x,-,-,x,Family,Ready for Occupancy,1989,1973,For-Profit,2060,26.14989651,-80.18801242,41200,1,-,-,80,80,16
2292,-,800039214,-,4.94E+11,FEDERAL APARTMENTS,821 NW 11TH AVENUE,Fort Lauderdale,Florida,33311,Broward,Refi Section 221(d)(4);Rental Assistance/HUD,164,164,164,-,x,-,-,-,Family,Ready for Occupancy,1988,1949,For-Profit,2035,26.13307599,-80.15629662,41500,1,-,-,146,11,7
1020,-,800004112,-,5.04E+11,GATEWAY TERRACE APARTMENTS,1943 NE 6TH CT,Fort Lauderdale,Florida,33304,Broward,Rental Assistance/HUD;Section 202 Direct Loan,257,252,252,-,x,-,-,-,Elderly,Ready for Occupancy,1988,1958,Non-Profit,2035,26.13145637,-80.12014837,41802,3,not avail.,not avail.,not avail.,not avail.,not avail.
1009,-,800004165,-,4.94E+11,HILLMONT GARDENS,2001 NW 9TH AVE,Fort Lauderdale,Florida,33311,Broward,Rental Assistance/HUD;Section 207/223(f),124,123,123,-,x,-,-,-,Elderly,Ready for Occupancy,1987,1987,Non-Profit,2027,26.15446573,-80.15504765,40901,1,not avail.,not avail.,not avail.,not avail.,not avail.
1011,-,800004219,-,5.04E+11,L.A. LEE TERRACE APARTMENTS,519 NW 14TH AVE,Fort Lauderdale,Florida,33311,Broward,Rental Assistance/HUD,65,65,65,-,x,-,-,-,Family,Ready for Occupancy,1971,1971,Non-Profit,2017,26.12823788,-80.15997392,41600,3,-,-,35,30,-
72980,-,800241206,-,5.04E+11,MEYERS ESTATES,2411 NW 7th St,Fort Lauderdale,Florida,33311,Broward,Rental Assistance/HUD,87,50,50,-,x,-,-,-,Elderly;Family,Ready for Occupancy,1989,1957,Non-Profit,2034,26.13141136,-80.17433243,41400,2,not avail.,not avail.,not avail.,not avail.,not avail.
1018,-,800004298,-,5.04E+11,MOUNT OLIVE GARDENS APARTMENTS,1701 NW 6 Ct,Fort Lauderdale,Florida,33311,Broward,Rental Assistance/HUD,60,59,59,-,x,-,-,-,Family,Ready for Occupancy,1970,1972,Non-Profit,2017,26.12984537,-80.16494321,41500,2,not avail.,not avail.,not avail.,not avail.,not avail.
1031,-,800003903,-,5.14E+11,ARCHBISHOP HURLEY HALL,632 NW FIRST ST,HALLANDALE,Florida,33009,Broward,Rental Assistance/HUD;Section 207/223(f),121,120,120,-,x,-,-,-,Elderly,Ready for Occupancy,1989,1990,Non-Profit,2034,25.986926,-80.15583082,100400,2,not avail.,not avail.,not avail.,not avail.,not avail.
1498,-,800004563,-,5.14E+11,WESLEY GROUP HOME,616 SW 3RD ST,HALLANDALE,Florida,33009,Broward,Rental Assistance/HUD;Section 811 Capital Advance,7,6,6,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,1997,1998,Non-Profit,2037,25.98184169,-80.15493052,100300,3,not avail.,not avail.,not avail.,not avail.,not avail.
1806,-,800003968,-,5.14E+11,CAMBRIDGE SQUARE OF HOLLYWOOD,6741 JOHNSON ST,Hollywood,Florida,33024,Broward,Rental Assistance/HUD;Section 236,168,68,68,-,x,-,-,-,Family,Ready for Occupancy,1973,1973,Limited Dividend,2017,26.01794831,-80.22298465,91201,1,not avail.,not avail.,not avail.,not avail.,not avail.
1989,-,800004087,-,5.14E+11,FEDERATION PLAZA,3081 TAFT ST,Hollywood,Florida,33021,Broward,Rental Assistance/HUD;Section 202 Direct Loan,124,123,123,-,x,-,-,-,Elderly,Ready for Occupancy,1987,1988,Non-Profit,2036,26.02656266,-80.17010411,90802,4,not avail.,not avail.,not avail.,not avail.,not avail.
1384,-,800004472,-,5.14E+11,SUNBELT MANOR,900 N 66th Ter,Hollywood,Florida,33024,Broward,Refi Section 221(d)(4) MR;Rental Assistance/HUD,50,50,50,-,x,-,-,-,Elderly,Ready for Occupancy,1983,1983,For-Profit,2029,26.01794256,-80.22132923,91201,1,-,50,-,-,-
