Project_Name,Owner,Developer,Address,Zip_Code,Council_District,Kirwan_Opportunity_Index,Distance_to_Bus_Stop,Total_Units,Total_Affordable_Units,Unit_Type,Program,Housing_Type,Status,Affordability_Start_Date,Affordability_Period,Affordability_Expiration_Date,Certification_Date,C._of_O._Date,Required_Amount_of_Fee_in_Lieu,Date_Fee_in_Lieu_Received,Market_Rate_Units,City_Funded_Amount,%_of_Funds_Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
1216 Paul Theresa Saldana Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1216 Paul Theresa Saldana Street,78702,3,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,1/25/13 0:00,99,1/25/12 0:00,10/25/13,,,,0,"$150,000.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.269795587178201, -97.7030101896883)"
1212 Paul Theresa Saldana Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1212 Paul Theresa Saldana Street,78702,3,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,1/25/13 0:00,99,1/25/12 0:00,10/25/13,,,,0,"$150,000.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2696977138216, -97.703051729234403)"
1208 Paul Theresa Saldana Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1208 Paul Theresa Saldana Street,78702,3,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,1/25/13 0:00,99,1/25/12 0:00,10/25/13,,,,0,"$150,000.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.26960115, -97.703096110502003)"
303 San Saba Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,303 San Saba Street,78702,3,Low,Neither,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,5/5/05 0:00,20,5/5/25 0:00,,,,,0,"$65,833.33 ",568.86%,No,No,No,No,No,No,Yes,No,No,No,"(30.255885486831499, -97.714408775614501)"
1002 Wheeless Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1002 Wheeless Street,78702,1,Low,Neither,1,1,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,1/29/07 0:00,20,1/29/27 0:00,,,,,0,"$65,833.33 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.267971859961101, -97.727759650218402)"
809 San Marcos Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,809 San Marcos Street,78702,1,Moderate,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,5/5/05 0:00,20,5/5/25 0:00,,,,,0,"$65,833.33 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.267216059588101, -97.731151025873999)"
2320 Santa Rita Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,2320 Santa Rita Street,78702,3,Low,Neither,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,5/5/05 0:00,20,5/5/25 0:00,,,,,0,"$65,833.33 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.257069873572899, -97.717265465185406)"
907 Spence Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,907 Spence Street,78702,3,Moderate,Neither,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,5/5/05 0:00,20,5/5/25 0:00,,,,,0,"$65,833.33 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.258685401946799, -97.735804575450899)"
1009 E 10th Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1009 E 10th Street,78702,1,Low,Neither,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,5/5/05 0:00,20,5/5/25 0:00,,,,,0,"$65,833.33 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.268428328286699, -97.730578112806796)"
Garden Terrace SRO,Garden Terrace Housing Corporation,"Foundation Communities, Inc.",1015 W William Cannon Drive,78745,2,Very Low,Neither,85,85,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,5/21/03 0:00,30,5/21/33 0:00,,8/21/03,$0.00 ,,0,"$1,775,750.00 ",152.31%,No,No,No,No,No,No,Yes,No,No,No,"(30.198640893731199, -97.793426531850102)"
Southwest Trails Apartments,Central Texas/SWA Mutual Housing Corporation,"Foundation Communities, Inc.",8405 Old Bee Caves Road,78735,8,Very Low,Neither,160,160,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,12/21/00 0:00,20,12/21/20 0:00,,9/17/01,,,0,"$1,000,000.00 ",1284%,No,No,No,No,No,No,Yes,No,No,No,"(30.2512241070173, -97.887243032664301)"
Ivy Condos - Acq of 8 Units (11/3/10),"ESCT Austin Housing III, Inc.",Easter Seals of Central Texas,3204 Manchaca Road,78704,5,Low,1/2 Mile,8,8,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,2/15/13 0:00,99,2/15/12 0:00,,,,,0,"$552,175.00 ",134.67%,No,No,No,No,No,No,Yes,No,No,No,"(30.240275740263598, -97.782668760111804)"
702 Plumpton Drive,Green Doors,Community Partnerships for the Homeless,702 Plumpton Drive,78745,2,Moderate,Neither,3,3,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,4/30/02 0:00,20,4/30/22 0:00,,,,,0,"$71,900.00 ",157.30%,No,No,No,No,No,No,No,No,No,No,"(30.1950468158668, -97.790821914266502)"
1109 Spearson Lane,Green Doors,Community Partnerships for the Homeless,1109 Spearson Lane,78745,2,Very Low,1/4 Mile,3,3,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,4/30/02 0:00,20,4/30/22 0:00,,,,,0,"$71,900.00 ",157.30%,No,No,No,No,No,No,Yes,No,No,No,"(30.2013845727143, -97.794202177939198)"
5406 Village Trail,Green Doors,Community Partnerships for the Homeless,5406 Village Trail,78744,2,Moderate,Neither,3,3,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,4/30/02 0:00,20,4/30/22 0:00,,,,,0,"$71,900.00 ",157.30%,No,No,No,No,No,No,No,No,No,No,"(30.1947866738427, -97.745984782803504)"
2505 Village Trail Circle,Green Doors,Community Partnerships for the Homeless,2505 Village Trail Circle,78744,2,Very Low,Neither,7,7,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,8/31/06 0:00,20,8/31/26 0:00,,,,,0,"$123,163.00 ",345.94%,No,No,No,No,No,No,No,No,No,No,"(30.1947866738427, -97.745984782803504)"
2407 S 4th Street,Green Doors,Community Partnerships for the Homeless,2407 S 4th Street,78704,2,Moderate,Neither,3,3,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,8/31/06 0:00,20,8/31/26 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,No,No,No,No,"(30.242615747990001, -97.763241378266898)"
7605 Elderberry Drive,Green Doors,Community Partnerships for the Homeless,7605 Elderberry Drive,78745,3,High,Neither,4,4,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,8/31/06 0:00,20,8/31/26 0:00,,,,,0,"$123,163.00 ",345.94%,No,No,No,No,No,No,No,No,No,No,"(30.185693186058899, -97.789443985831596)"
2014 Covered Wagon Pass,Green Doors,Community Partnerships for the Homeless,2014 Covered Wagon Pass,78744,2,Moderate,1/4 Mile,3,3,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,5/2/07 0:00,20,5/2/27 0:00,,,,,0,"$100,000.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.193222322517499, -97.758702030219496)"
5611 Teri Road,Green Doors,Community Partnerships for the Homeless,5611 Teri Road,78744,2,Low,Neither,3,3,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,5/2/07 0:00,20,5/2/27 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,No,No,No,No,"(30.1927525514336, -97.733819842395505)"
904 Neal Street,Green Doors,Community Partnerships for the Homeless,904 Neal Street,78702,1,Very High,Neither,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,1/31/08 0:00,40,1/31/48 0:00,,,,,0,"$125,000.00 ",20.72%,No,No,No,No,No,No,No,No,No,No,"(30.268469735470401, -97.710058815744802)"
908 Neal Street,Green Doors,Community Partnerships for the Homeless,908 Neal Street,78702,1,Very High,Neither,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,1/31/08 0:00,40,1/31/48 0:00,,,,,0,"$125,000.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.2686070180355, -97.710236739433995)"
912 Neal Street,Green Doors,Community Partnerships for the Homeless,912 Neal Street,78702,1,Very High,Neither,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,1/31/08 0:00,40,1/31/48 0:00,,,,,0,"$125,000.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.2687163287403, -97.710356868384395)"
916 Neal Street,Green Doors,Community Partnerships for the Homeless,916 Neal Street,78702,1,Very High,Neither,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,1/31/08 0:00,40,1/31/48 0:00,,,,,0,"$125,000.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.2688504901787, -97.710485796491895)"
Pecan Springs Commons,Green Doors,Community Partnerships for the Homeless,5800 Sweeney Circle,78723,1,Very High,Neither,46,46,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,12/29/09 0:00,99,12/29/08 0:00,4/28/09,10/24/12,,,0,"$2,000,000.00 ",74.93%,No,No,No,No,No,No,Yes,No,No,No,"(30.304927140597201, -97.679951265008995)"
Pecan Springs Commons,Green Doors,Community Partnerships for the Homeless,5807 Sweeney Circle,78723,1,Very High,Neither,4,4,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,2/18/09 0:00,99,2/18/08 0:00,11/25/08,2/1/10,,,0,"$508,842.00 ",39.71%,No,No,No,No,No,No,Yes,No,No,No,"(30.3051500320123, -97.679026690365006)"
Pecan Springs Commons,Green Doors,Community Partnerships for the Homeless,5809 Sweeney Circle,78723,1,Very High,Neither,4,4,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,2/18/09 0:00,99,2/18/08 0:00,11/25/08,2/1/10,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.305360090323401, -97.6790763842193)"
Pecan Springs Commons,Green Doors,Community Partnerships for the Homeless,5802 Sweeney Circle,78723,1,Low,Neither,4,4,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,2/18/09 0:00,99,2/18/08 0:00,11/25/08,2/1/10,,,0,"$791,158.00 ",61.48%,No,No,No,No,No,No,Yes,No,No,No,"(30.305111409916201, -97.679950953212398)"
Pecan Springs Commons,Green Doors,Community Partnerships for the Homeless,5804 Sweeney Circle,78723,1,Low,Neither,4,4,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,2/18/09 0:00,99,2/18/09 0:00,11/25/08,2/1/10,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.305293400329699, -97.679840553764905)"
Pecan Springs Commons,Green Doors,Community Partnerships for the Homeless,5805 Sweeney Circle,78723,1,Low,Neither,4,4,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,2/18/09 0:00,99,2/18/09 0:00,11/25/08,2/1/10,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.3048910689532, -97.679006077430401)"
Pecan Springs Commons,Green Doors,Community Partnerships for the Homeless,5811 Sweeney Circle,78723,1,Low,Neither,4,4,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,2/18/09 0:00,99,2/18/09 0:00,11/25/08,2/1/10,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.305582197017898, -97.678910992753103)"
Treaty Oaks,Green Doors,Green Doors,3700 Manchaca Road,78704,5,High,1/4 Mile,47,47,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,2/25/09 0:00,99,2/25/10 0:00,9/27/10,5/1/13,,,0,"$1,350,000.00 ",136.07%,No,No,No,No,No,No,Yes,No,No,No,"(30.2365889139842, -97.784394214195103)"
Pecan Springs Commons,Green Doors,Green Doors,5803 Sweeney Circle,78723,1,Very Low,,4,4,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,3/18/12 0:00,99,3/18/11 0:00,12/7/11,5/9/13,,,0,"$446,280.00 ",72.98%,No,No,No,No,No,No,Yes,No,No,No,"(30.304784264974501, -97.679161164327894)"
Pecan Springs Commons,Green Doors,Green Doors,2907 Sweeney Lane,78723,1,Very Low,,4,4,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,3/18/12 0:00,99,3/18/11 0:00,12/7/11,5/9/13,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.305737961267202, -97.678862330997603)"
Pecan Springs Commons,Green Doors,Green Doors,5801 Sweeney Circle,78723,1,Very Low,,4,4,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,3/28/12 0:00,99,3/28/11 0:00,12/7/11,5/9/13,,,0,"$193,720.00 ",72.98%,No,No,No,No,No,No,Yes,No,No,No,"(30.304764975940699, -97.679557916842199)"
The Super Co-op,The College Houses,The College Houses,1905 Nueces Street,78705,9,Very Low,1/4 Mile,50,50,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,11/3/09 0:00,30,11/3/39 0:00,,12/23/08,,,0,"$837,500.00 ",1707.11%,No,No,No,No,No,No,No,No,No,No,"(30.283017984191002, -97.743836076893999)"
Franklin Gardens,Chestnut Senior Housing,Chestnut Neighborhood Revitalization Corporation,3522 E Martin Luther King Jr Boulevard,78723,1,Very Low,1/4 Mile,22,22,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,9/29/09 0:00,50,9/29/59 0:00,,,,,0,"$1,000,000.00 ",219.04%,No,No,No,No,No,No,No,No,No,No,"(30.284132738913499, -97.697203399087101)"
Fort Branch Landing,Fort Branch Landing LP,Fort Branch Landing LP,5841 Techni Center Drive,78721,1,Very Low,1/2 Mile,250,250,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,12/13/00 0:00,20,12/13/20 0:00,,,,,0,"$500,000.00 ",4122.21%,No,No,No,No,No,No,No,No,No,No,"(30.277720321500698, -97.666467165610001)"
2412 Bryan Street,Blackshear Neighborhood Development Corporation,Blackshear Neighborhood Development Corporation,2412 Bryan Street,78702,1,Very High,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,9/15/09 0:00,99,9/15/08 0:00,,,,,0,"$114,500.00 ",344.98%,No,No,No,No,No,No,Yes,No,No,No,"(30.267094606028301, -97.716349377276202)"
1116 Harvard Street,Blackshear Neighborhood Development Corporation,Blackshear Neighborhood Development Corporation,1116 Harvard Street,78702,1,Very High,1/4 Mile,2,2,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,9/15/09 0:00,99,9/15/08 0:00,,,,,0,"$114,500.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.267239718630901, -97.716238722026404)"
2503 E 9th Steet,Blackshear Neighborhood Development Corporation,Blackshear Neighborhood Development Corporation,2503 E 9th Steet,78702,1,Very High,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,9/15/09 0:00,99,9/15/08 0:00,,,,,0,"$114,500.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.264803872097499, -97.714305751350906)"
1905 E 9th Street,Blackshear Neighborhood Development Corporation,Blackshear Neighborhood Development Corporation,1905 E 9th Street,78702,1,Very High,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,9/15/09 0:00,99,9/15/08 0:00,,,,,0,"$114,500.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.263918130832899, -97.721001292834202)"
1705 Rosewood Avenue,Blackshear Neighborhood Development Corporation,Blackshear Neighborhood Development Corporation,1705 Rosewood Avenue,78702,1,Very High,1/4 Mile,1,1,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,9/15/09 0:00,99,9/15/08 0:00,,,,,0,"$114,500.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.269211785503501, -97.726139935999996)"
2102 Chicon Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2102 Chicon Street,78722,1,Very High,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,1/1/03 0:00,20,1/1/23 0:00,,,,,0,"$47,142.86 ",837.88%,No,No,No,No,No,No,No,No,No,No,"(30.282139300831499, -97.721949202244403)"
1700 Martin Luther King Jr Boulevard,Blackland Community Development Corporation,Blackland Community Development Corporation,1700 Martin Luther King Jr Boulevard,78722,1,Very High,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,1/1/03 0:00,20,1/1/23 0:00,,,,,0,"$47,142.86 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.279913222000001, -97.723113003698501)"
1804 Martin Luther King Jr Boulevard,Blackland Community Development Corporation,Blackland Community Development Corporation,1804 Martin Luther King Jr Boulevard,78722,1,Very High,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,1/1/03 0:00,20,1/1/23 0:00,,,,,0,"$47,142.86 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.280024915676901, -97.721845578430006)"
2113 Salina Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2113 Salina Street,78722,1,Very High,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,1/1/03 0:00,20,1/1/23 0:00,,,,,0,"$47,142.86 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.282535186418201, -97.722624109112701)"
1803 E 22nd Steet,Blackland Community Development Corporation,Blackland Community Development Corporation,1803 E 22nd Steet,78722,1,Very High,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,1/1/03 0:00,20,1/1/23 0:00,,,,,0,"$47,142.86 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.282563298812299, -97.722417742886094)"
2111 Salina Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2111 Salina Street,78722,1,Very High,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,1/1/03 0:00,20,1/1/23 0:00,,,,,0,"$47,142.86 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.282395441286699, -97.722591730266601)"
2107 Salina Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2107 Salina Street,78722,1,Very High,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,1/1/03 0:00,20,1/1/23 0:00,,,,,0,"$47,142.86 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.282086738041201, -97.722559167797698)"
2008 Chicon Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2008 Chicon Street,78722,1,Very High,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,4/11/06 0:00,10,4/11/06 0:00,,,,,0,"$50,726.67 ",9.36%,No,No,No,No,No,No,No,No,No,No,"(30.281370066872299, -97.721856721313003)"
2012 Chicon Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2012 Chicon Street,78722,1,Very High,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,4/11/06 0:00,10,4/11/16 0:00,,,,,0,"$50,726.67 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.2815716842494, -97.721898009297902)"
2201 Salina Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2201 Salina Street,78722,1,Very High,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,4/11/06 0:00,10,4/11/16 0:00,,,,,0,"$50,726.67 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.282819330499301, -97.722658096735202)"
2009 Salina Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2009 Salina Street,78722,1,Very High,1/4 Mile,6,6,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,9/1/09 0:00,10,9/1/19 0:00,,,,,0,"$115,000.00 ",42.56%,No,No,No,No,No,No,No,No,No,No,"(30.281395329700199, -97.722283452049396)"
2110 Salina Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2110 Salina Street,78722,1,Very High,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,9/1/09 0:00,10,9/1/19 0:00,,,,,0,"$115,000.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.282364944770599, -97.723034822313807)"
1803 E 20th Street,Blackland Community Development Corporation,Blackland Community Development Corporation,1803 E 20th Street,78722,1,Very High,1/4 Mile,8,8,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,4/29/11 0:00,15,4/29/26 0:00,,,,,0,"$491,919.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.2805006367646, -97.7219761033775)"
2106 Chestnut Avenue,Blackland Community Development Corporation,Blackland Community Development Corporation,2106 Chestnut Avenue,78722,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,12/15/13 0:00,15,12/15/28 0:00,,,,,0,"$201,535.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.283011504042101, -97.718054630580895)"
Austin Children's Shelter,Austin Children's Shelter,Austin Children's Shelter,4800 Manor Road,78723,9,Very Low,Neither,28,28,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,6/26/08 0:00,99,6/26/07 0:00,,,,,0,"$1,000,000.00 ",118.15%,No,No,No,No,No,No,No,No,No,No,"(30.2956389135677, -97.689067926575007)"
Austin Travis County MHMR,Austin Travis County Integral Care,Austin Travis County MHMR Center,6222 N Lamar Boulevard,78757,7,Very Low,1/4 Mile,37,37,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,1/31/09 0:00,99,1/31/08 0:00,,,,,0,"$2,300,000.00 ",31.37%,No,No,No,No,No,No,No,No,No,No,"(30.331229250761702, -97.723509712333296)"
Austin Travis County MHMR,Austin Travis County Integral Care,Austin Travis County MHMR Center,403 E 15th Street,78721,1,High,1/4 Mile,24,24,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,3/10/10 0:00,20,3/10/30 0:00,,,,,0,"$1,752,175.00 ",83.04%,No,No,No,No,No,No,No,No,No,No,"(30.275598830627601, -97.735745569574206)"
Carol's House,Accessible Housing Austin!,Accessible Housing Austin!,1805 Heatherglen Lane,78758,7,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,6/26/09 0:00,99,6/26/08 0:00,,,,,0,"$140,000.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.395171409567499, -97.701642388811393)"
Palms at North Lamar,"TMG - TX Austin I, L.P.",TMG - TX Austin I,8600 N Lamar Boulevard,78753,4,Very Low,1/4 Mile,476,215,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,6/10/10 0:00,99,6/10/09 0:00,,,,,261,"$3,000,000.00 ",1072.02%,No,No,No,No,No,No,No,No,No,No,"(30.354653308810501, -97.704330445112006)"
