Project_ID,Project_Status,Project_Name,Street_Number ,Street_Name,Street_Type,Zip_Code,Planning_Address,APN(s),Supervisor_District,Planning_Neighborhood,City_Analysis_Neighborhood,Lead_Agency,Program_Area,Project_Area,Project_Type,Housing_Tenure,Issuance_of_Notice_to_Proceed,Issuance_of_Building_Permit,Issuance_of_First_Construction_Document,Estimated/Actual_Construction_Start_Date,Estimated_Construction_Completion,Project_Lead_Sponsor,Project_Co-Sponsor,Project_Owner,DBI_Permit_Number,Planning_Case_Number,Property_Informaiton_Map_Link,Planning_Entitlements,Entitlement_Approval,Section_415_Declaration,Recording_Number,Recording_Date,Project_Units,Affordable_Units,Market_Rate_Units,%_Affordable,SRO_Units,Studio_Units,1bd_Units,2bd_Units,3bd_Units,4bd_Units,5+_bd_Units,Mobility_Units,Manager_Units,Manager_Unit(s)_Type,Family_Units,Senior_Units,TAY_Units,Homeless_Units,Disabled_Units,20%_AMI,30%_AMI,50%_AMI,55%_AMI,60%_AMI,80%_AMI,90%_AMI,100%_AMI,120%_AMI,150%_AMI,Latitude,Longitude,Location
2008-011,(5) First Construction Document Issued,"HPSY I, Block 53",555,Innes,Ave,94124,Not Applicable,"4591C094, 4591C095, 4591C096, 4591C097, 4591C098, 4591C099, 4591C100, 4591C101",10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,,New Construction,Ownership,,4/16/13,12/23/13,12/23/13 0:00,1/31/17,Lennar Urban,,,2.00912E+11,Not Applicable,,,,,,,93,9,84,10%,0,0,3,4,2,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,37.72789315,-122.3693409,"(37.7278931475727, -122.369340883861)"
2008-012,(5) First Construction Document Issued,"HPSY I, Block 54",182,Coleman,St,94124,Not Applicable,"4591C049, 4591C050, 4591C051, 4591C052, 4591C053, 4591C054, 4591C055, 4591C056, 4591C057, 4591C059, 4591C060, 4591C061, 4591C062, 4591C063, 4591C064, 4591C065, 4591C066, 4591C067, 4591C068, 4591C069, 4591C070",10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,,New Construction,Ownership,,11/26/12,11/15/13,11/15/13 0:00,1/31/17,Lennar Urban,,,2.00912E+11,Not Applicable,,,,,,,66,7,59,11%,0,0,2,3,2,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,37.72838371,-122.3685521,"(37.728383706164, -122.368552112736)"
2009-002,(4) Site Work Permit Issued,180 Jones  / 181 Turk ,180,Jones,St,94102,"199 TURK ST, SAN FRANCISCO, CA 94102",343014,6,Downtown/Civic Center,Tenderloin,MOHCD,Inclusionary,,New Construction,Ownership,,9/9/15,,3/4/14 0:00,3/3/16,Eddie Tsang,,,2.00608E+11,2005.0267,http://propertymap.sfplanning.org/?search=2005.0267,"2005.0267C,2005.0267E,2005.0267K,2005.0267V",3/5/09,On-site BMR Project ,2009-I742257,4/1/09,37,4,33,11%,0,0,0,0,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,37.78282592,-122.4121551,"(37.7828259200637, -122.412155091562)"
2009-003,(5) First Construction Document Issued,1622-1650 Broadway,1622-1650,Broadway,,94123,"0 V, SAN FRANCISCO, CA",570041,2,Pacific Heights,Pacific Heights,MOHCD,Inclusionary,,New Construction,Unknown,,,7/18/14,7/18/14 0:00,1/9/16,1650 Broadway LLC,,,,2005.0893,http://propertymap.sfplanning.org/?search=2005.0893,"2005.0893E,2005.0893E_3,2005.0893K",3/12/09,Fee Payment ,,,34,0,34,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.79592459,-122.424407,"(37.7959245856057, -122.424407049331)"
2009-004,(6) Complete,Dr. George W Davis Senior Housing,1751,Carroll,Ave,94107,1751 CARROLL AVE 94124,5431A042,10,Bayview,Bayview Hunters Point,OCII,Multifamily,,New Construction,Rental,,12/13/13,5/5/14,5/5/14 0:00,5/24/16,McCormack Baron Salazar,,"Bayview Supportive Housing, LLC",2.01211E+11,2014-001970PRJ,http://propertymap.sfplanning.org/?search=2014-001970PRJ, ,10/4/12,,,,121,120,1,99%,0,0,116,4,0,0,0,0,1,2bd,0,97,0,23,0,0,0,120,0,0,0,0,0,0,0,37.72561896,-122.3958549,"(37.7256189563117, -122.395854879559)"
2009-005,(6) Complete,2655 Bush  ,2655,Bush,St,94104,"2655 BUSH ST, SAN FRANCISCO, CA 94115",1052024,2,Western Addition,Pacific Heights,MOHCD,Inclusionary,,New Construction,Unknown,,,1/10/14,1/10/14 0:00,2/27/17,AREOF VI Bush Street LLC,,,2.01211E+11,2005.1106,http://propertymap.sfplanning.org/?search=2005.1106,"13-078,13-079,2005.1106C,2005.1106E,2005.1106E_3,2005.1106E_4,2005.1106K",7/16/09,Fee Payment ,2013-J646879,4/29/13,81,0,81,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.78582138,-122.44077,"(37.7858213795315, -122.440769977215)"
2009-006,(3) Design with Entitlements Approved,2060 Folsom (17th and Folsom),2060,Folsom,St,94110,2070 FOLSOM ST 94110,3571031,9,Mission,Mission,MOHCD,Multifamily,,New Construction,Rental,1/1/18,,,1/1/18 0:00,7/1/19,Chinatown Community Development Center,Mission Economic Development Agency,"2060 Folsom Housing, LP",2.01608E+11,2015-014715PRJ,http://propertymap.sfplanning.org/?search=2015-014715PRJ,"2015-014715ENV,2015-014715PCA,2015-014715PPA,2015-014715SHD",,,,,127,126,1,99%,0,29,8,54,35,0,0,0,1,2bd,97,0,29,0,0,0,0,29,0,97,0,0,0,0,0,37.76427126,-122.4157426,"(37.7642712624585, -122.415742568447)"
2009-007,(6) Complete,Olume,1415,Mission,St,94103,"1415 MISSION ST, SAN FRANCISCO, CA 94133",3510001,6,South of Market,South of Market,MOHCD,Inclusionary,,New Construction,Rental,,,4/29/14,4/29/14 0:00,5/27/16,R&K Investments,,,2.0081E+11,2005.054,http://propertymap.sfplanning.org/?search=2005.0540,"2005.0540C,2005.0540E,2005.0540E_3,2005.0540K,2005.0540T,2005.0540V,2005.0540X,2005.0540Z",11/12/09,On-site BMR Project ,2015-K159758,11/24/15,121,18,103,15%,0,0,0,0,0,0,0,0,0,,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,37.77490763,-122.4159198,"(37.7749076313231, -122.415919821324)"
2010-002,(5) First Construction Document Issued,John Burton Foundation Housing Complex (Booker T Washington),800,Presidio,Ave,94115,"800 PRESIDIO AV, SAN FRANCISCO, CA 94115",1073013,5,Western Addition,Presidio Heights,MOHCD,Multifamily,,New Construction,Rental,9/8/15,6/20/14,,9/8/15 0:00,6/12/17,John Stewart Company,Booker T Washington,"BTW Housing Partners, LP","201204168406, 201510149589",2006.0868,http://propertymap.sfplanning.org/?search=2006.0868,"2006.0868C,2006.0868C_3,2006.0868E,2006.0868E_3,2006.0868E_5,2006.0868K,2006.0868Q,2006.0868T,2006.0868Z",4/28/11,,,,50,49,1,98%,0,48,0,1,0,0,0,0,1,2bd,24,0,25,0,0,0,0,37,0,12,0,0,0,0,0,37.78410902,-122.4457787,"(37.7841090181608, -122.445778739796)"
2010-003,(2) Predevelopment Feasibility,Casa de la Mision,3001,24th ,St,94110,Planning address not yet assigned,6522064,9,Mission,Mission,MOHCD,Multifamily,,New Construction,Rental,6/1/17,,,6/1/17 0:00,12/1/19,Mercy Housing California,Mission Neighborhood Centers,Mercy Housing California 59,,Not Yet Available,,,,,,,50,49,1,98%,0,49,0,0,0,0,0,0,1,1bd,0,49,0,0,0,0,0,0,0,49,0,0,0,0,0,37.75243967,-122.4121995,"(37.7524396712835, -122.412199452168)"
2010-004,(5) First Construction Document Issued,Mission Bay South Block 7 West,588,Mission Bay Blvd North,,94158,Not Applicable,8711226,6,South of Market,Mission Bay,OCII,Multifamily,Mission Bay,New Construction,Rental,6/1/15,10/9/14,5/5/15,5/5/15 0:00,2/1/17,Related California,Chinatown Community Development Center,"Mission Bay Block 7 Housing Partners, LP",2.01404E+11,Not Applicable,,,,,,,200,198,2,99%,0,0,70,128,0,0,0,0,2,"1bd, 1bd",198,0,0,0,0,0,0,40,0,158,0,0,0,0,0,37.77147184,-122.3906116,"(37.7714718440718, -122.390611630638)"
2010-005,(2) Predevelopment Feasibility,Balboa Park Upper Yard,,Address not yet assigned,,94112,Planning address not yet assigned,6973039,11,Ocean View,Outer Mission,MOHCD,Multifamily,,New Construction,Rental,10/1/17,,,10/1/17 0:00,10/1/19,Related California,Mission Housing Development Corporation,Entity to be formed,,Not Yet Available,,,,,,,88,87,1,99%,0,0,0,0,0,0,0,0,1,,70,0,0,17,0,0,0,0,0,87,0,0,0,0,0,37.72029433,-122.4472781,"(37.720294331776, -122.447278135803)"
2011-002,(5) First Construction Document Issued,Arc Mercy (1500 Page),1099,Masonic,Ave,94117,"1500 PAGE ST, SAN FRANCISCO, CA 94117",1223004,5,Haight Ashbury,Haight Ashbury,MOHCD,Multifamily,,Adaptive Reuse,Rental,12/1/14,,,12/1/14 0:00,12/15/16,Mercy Housing California,,"Mercy Housing California 57, LP",2.01312E+11,2012.0258,http://propertymap.sfplanning.org/?search=2012.0258,"2012.0258C,2012.0258E,2012.0258T,2012.0258U,2012.0258V,2012.0258Z",2/14/14,,DOC-2015-K145760-00,10/16/15,17,16,1,94%,0,16,0,0,0,0,0,0,1,1bd,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,37.77125893,-122.4459193,"(37.7712589305349, -122.44591931446)"
2011-003,(1) Preliminary Phase,801 Brannan (Land Dedication Site),801,Brannan,St,94103,Planning address not yet assigned,3783001,6,South of Market,South of Market,MOHCD,Multifamily,,New Construction,Rental,,,,,,Developer not yet selected,,Developer not yet selected,,Not Yet Available,,,,,,,150,149,1,99%,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.77182386,-122.4038826,"(37.7718238623121, -122.403882620197)"
2011-004,(3) Design with Entitlements Approved,Park Merced - Phase IA & 1B,3711,19th,Ave,94132,"0 V, SAN FRANCISCO, CA",7303001,7,Lakeshore,Lakeshore,MOHCD,Inclusionary,,New Construction,Unknown,,12/22/14,,2/9/16 0:00,2/8/18,Maximus,,,,2008.0021,http://propertymap.sfplanning.org/?search=2008.0021,"2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z",2/10/11,Combination Project,,,901,45,856,5%,0,0,0,0,0,0,0,0,0,,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.71701001,-122.4789231,"(37.717010013518, -122.478923092808)"
2011-005,(5) First Construction Document Issued,1255-1275 Columbus,1255-1275 ,Columbus,Ave,94133,"1255 COLUMBUS AVE AV, SAN FRANCISCO, CA 94133",28014,2,Russian Hill,Russian Hill,MOHCD,Inclusionary,,New Construction,Unknown,12/7/16,4/22/14,12/7/16,12/7/16 0:00,5/31/18,,,,2.01306E+11,2008.0723,http://propertymap.sfplanning.org/?search=2008.0723,"2008.0723E,2008.0723E_3,2008.0723E_4,2008.0723V",6/8/11,Fee Payment ,2014-J864968,4/17/14,20,0,20,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.80560374,-122.4182387,"(37.8056037419423, -122.418238739585)"
2011-008,(6) Complete,Potrero 1010,1000,16th,St,94107,"1380 07TH ST, SAN FRANCISCO, CA 94107",3833001,10,South of Market,Mission Bay,MOHCD,Inclusionary,,New Construction,Rental,,9/7/12,3/20/14,3/20/14 0:00,3/1/16,EQR,,,"200005180401, 201112070227, 201112070234, 201604043904",2003.0527,http://propertymap.sfplanning.org/?search=2003.0527,"2003.0527E,2003.0527E_3,2003.0527K,2003.0527K_3,2003.0527R,2003.0527S,2003.0527U,2003.0527X",7/28/11,On-site BMR Project ,2013-J733193,8/21/13,453,91,362,20%,0,0,0,0,0,0,0,0,0,,91,0,0,0,0,0,0,0,91,0,0,0,0,0,0,37.76695071,-122.3968954,"(37.7669507136129, -122.396895419712)"
2011-009,(5) First Construction Document Issued,Hunters View Phase IIA- 7a-7d & 11e-11f,140,Middle Point,Rd,94124,"0 SITUS TO BE ASSIGNED, SAN FRANCISCO, CA 94124",4624051,10,Bayview,Bayview Hunters Point,MOHCD/OCII,HOPE SF,,New Construction,Rental,1/1/15,11/3/14,,1/1/15 0:00,8/30/16,John Stewart Company,Devine & Gong/Ridgepoint,"HV Partners2, LP",,2009.1075,http://propertymap.sfplanning.org/?search=2009.1075,2009.1075F,6/12/08,,,,107,106,1,99%,0,0,30,31,34,10,1,0,1,2bd,106,0,0,0,0,0,0,26,0,0,80,0,0,0,0,37.73578482,-122.3797739,"(37.7357848207348, -122.379773930147)"
2011-015,(3) Design with Entitlements Approved,1296 Shotwell,1296,Shotwell,St,94110,1294 SHOTWELL ST 94110,6571051,9,Mission,Mission,MOHCD,Multifamily,,New Construction,Rental,12/1/17,,,12/1/17 0:00,12/1/19,Chinatown Community Development Center,Mission Economic Development Agency,"1296 Shotwell Housing, LP",2.01608E+11,2015-018056PRJ,http://propertymap.sfplanning.org/?search=2015-018056PRJ,"2015-018056AHB,2015-018056ENV,2015-018056PPA",,,,,94,93,1,99%,0,24,69,0,0,0,0,0,1,2bd,0,74,0,19,0,0,19,0,0,74,0,0,0,0,0,37.74858752,-122.4152034,"(37.7485875220543, -122.415203445427)"
2012-001,(5) First Construction Document Issued,Alice Griffith Phase 1 (Block 2),2600,Arelious Walker,Dr,94124,Not Applicable,8804001,10,Bayview,Bayview Hunters Point,OCII,HOPE SF,,New Construction,Rental,3/2/15,,,3/2/15 0:00,11/1/16,McCormack Baron Salazar,,"Alice Griffith Phase 1, LP",2.01506E+11,Not Applicable,,,,,,,93,93,0,100%,0,0,23,51,7,12,0,0,1,1bd,93,0,0,0,0,0,0,93,0,0,0,0,0,0,0,37.71908714,-122.3853168,"(37.7190871356092, -122.385316764521)"
2012-002,(5) First Construction Document Issued,Alice Griffith Phase 2 (Block 4),2700,Arelious Walker,Dr,94124,Not Applicable,8811001,10,Bayview,Bayview Hunters Point,OCII,HOPE SF,,New Construction,Rental,3/2/15,,,3/2/15 0:00,12/1/16,McCormack Baron Salazar,,"Alice Griffith Phase 2, LP",2.01401E+11,Not Applicable,,,,,,,91,91,0,100%,0,0,23,47,9,12,0,0,1,1bd,91,0,0,0,0,0,0,91,0,0,0,0,0,0,0,37.71833758,-122.385991,"(37.7183375824427, -122.385991022007)"
2012-003,(5) First Construction Document Issued,Alice Griffith Phase 3A-3B  (Block 1),2500,Arelious Walker,Dr,94124,Not Applicable,8803001,10,Bayview,Bayview Hunters Point,OCII,HOPE SF,,New Construction,Rental,2/29/16,,,2/29/16 0:00,11/30/17,McCormack Baron Salazar,,"Alice Griffith Phase 3A, LP, Alice Griffith Phase 3B, LP",2.01501E+11,Not Applicable,,,,,,,122,122,0,100%,0,0,13,71,35,3,0,0,1,1bd,122,0,0,0,0,0,0,122,0,0,0,0,0,0,0,37.71964521,-122.384831,"(37.7196452071864, -122.384830980768)"
2012-004,(3) Design with Entitlements Approved,Alice Griffith Phase 4 (Block 5),2800,Arelious Walker,Dr,94124,Not Applicable,8812001,10,Bayview,Bayview Hunters Point,OCII,HOPE SF,,New Construction,Rental,5/1/17,,,5/1/17 0:00,8/1/18,McCormack Baron Salazar,,"Double Rock Ventures, LLC",,Not Applicable,,,,,,,31,31,0,100%,0,0,12,6,0,10,3,0,0,,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0,37.7179161,-122.3864269,"(37.7179160969513, -122.386426872905)"
